bill_date,api_key_id,api_key_name,api_key_prefix,group_name,request_count,actual_cost_usd
2026/5/6,2705,测试,sk-16e4c1fc0,pro号池,4,0.003747
2026/5/6,2786,test_gpt6,sk-054edaefe,pro号池,259,76.104097
2026/5/7,2786,test_gpt6,sk-054edaefe,pro号池,1025,208.418871
2026/5/8,2705,测试,sk-16e4c1fc0,pro号池,1,0.000907
2026/5/8,2786,test_gpt6,sk-054edaefe,pro号池,221,34.143775
2026/5/15,3480,sub2api-gpt,sk-ef7c575f1,pro号池,4,0.003192
2026/5/20,1466,test2,sk-1fc3888d1,pro号池,1,0.000203
2026/5/20,2786,test_gpt6,sk-054edaefe,pro号池,54,3.685773
2026/5/20,3480,sub2api-gpt,sk-ef7c575f1,pro号池,2,0.000595
2026/5/20,3677,test-jumpx-image,sk-07faad8d1,【限时半价】gpt-image,1,0.5
2026/5/21,2786,test_gpt6,sk-054edaefe,pro号池,1259,136.467766
2026/5/21,3677,test-jumpx-image,sk-07faad8d1,【限时半价】gpt-image,4,2
2026/5/21,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,18,0.061858
2026/5/21,3692,laogou_loacl_image,sk-f62bf98a1,【限时半价】gpt-image,1,0.006165
2026/5/21,3699,laogou_dev_image,sk-aa9f0648d,【限时半价】gpt-image,7,3.4
2026/5/22,2786,test_gpt6,sk-054edaefe,pro号池,408,56.15423
2026/5/22,3677,test-jumpx-image,sk-07faad8d1,【限时半价】gpt-image,5,2.5
2026/5/22,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,147,10.648482
2026/5/22,3699,laogou_dev_image,sk-aa9f0648d,【限时半价】gpt-image,18,9
2026/5/23,2786,test_gpt6,sk-054edaefe,pro号池,794,180.512354
2026/5/23,3697,laogou_dev_claude,sk-9d3d9c3bd,老狗-Claude-满血官转,3,1.992419
2026/5/24,3677,test-jumpx-image,sk-07faad8d1,【限时半价】gpt-image,6,4
2026/5/25,3677,test-jumpx-image,sk-07faad8d1,【限时半价】gpt-image,2,1
2026/5/27,2786,test_gpt6,sk-054edaefe,pro号池,368,47.467629
2026/5/27,3480,sub2api-gpt,sk-ef7c575f1,pro号池,5,0.000763
2026/5/30,2786,test_gpt6,sk-054edaefe,pro号池,2,2.309507
2026/5/31,2786,test_gpt6,sk-054edaefe,pro号池,1225,130.506937
2026/6/1,2786,test_gpt6,sk-054edaefe,pro号池,1212,141.37497
2026/6/2,2786,test_gpt6,sk-054edaefe,pro号池,1587,197.689848
2026/6/2,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,7,0.000998
2026/6/3,2786,test_gpt6,sk-054edaefe,pro号池,1002,119.395886
2026/6/3,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,25,0.051238
2026/6/3,3699,laogou_dev_image,sk-aa9f0648d,【限时半价】gpt-image,9,4.5
2026/6/4,2786,test_gpt6,sk-054edaefe,pro号池,940,106.295933
2026/6/5,2786,test_gpt6,sk-054edaefe,pro号池,1129,110.645236
2026/6/6,2786,test_gpt6,sk-054edaefe,pro号池,17,1.328789
2026/6/7,2786,test_gpt6,sk-054edaefe,pro号池,414,53.788455
2026/6/7,3480,sub2api-gpt,sk-ef7c575f1,pro号池,43,1.550834
2026/6/7,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,14,0.026882
2026/6/7,3692,laogou_loacl_image,sk-f62bf98a1,【限时半价】gpt-image,2,0.505928
2026/6/8,2786,test_gpt6,sk-054edaefe,pro号池,497,60.912825
2026/6/8,3480,sub2api-gpt,sk-ef7c575f1,pro号池,49,1.016739
2026/6/8,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,2,0.001595
2026/6/9,2786,test_gpt6,sk-054edaefe,pro号池,302,43.823435
2026/6/9,3480,sub2api-gpt,sk-ef7c575f1,pro号池,12,0.034953
2026/6/10,2786,test_gpt6,sk-054edaefe,pro号池,368,52.755609
2026/6/10,3479,sub2api-claude,sk-fe8ebdd9d,老狗-Claude-满血官转,10,0.734433
2026/6/10,3480,sub2api-gpt,sk-ef7c575f1,pro号池,46,1.738128
2026/6/10,3697,laogou_dev_claude,sk-9d3d9c3bd,老狗-Claude-满血官转,1,0.113286
2026/6/10,3925,test-claude,sk-ccc15d4d3,老狗-Claude-满血官转,7,0.196187
2026/6/11,1769,aippt-test-image2,sk-005da313e,【限时半价】gpt-image,1,0.5
2026/6/11,3480,sub2api-gpt,sk-ef7c575f1,pro号池,396,36.134822
2026/6/12,1769,aippt-test-image2,sk-005da313e,【限时半价】gpt-image,6,2.9
2026/6/12,2786,test_gpt6,sk-054edaefe,pro号池,325,33.851272
2026/6/12,3480,sub2api-gpt,sk-ef7c575f1,pro号池,801,51.691728
2026/6/13,2786,test_gpt6,sk-054edaefe,pro号池,885,96.400757
2026/6/13,3480,sub2api-gpt,sk-ef7c575f1,pro号池,659,36.054635
2026/6/13,3481,sub2api-image,sk-6c2042137,【限时半价】gpt-image,1,0.00585
2026/6/13,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,269,36.586355
2026/6/13,3925,test-claude,sk-ccc15d4d3,老狗-Claude-满血官转,2,0.077511
2026/6/14,3480,sub2api-gpt,sk-ef7c575f1,pro号池,95,8.860843
2026/6/14,3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,256,29.078255
2026/6/14,3693,laogou_prod_gpt,sk-170c9cf3d,pro号池,12,0.933121
2026/6/14,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,2,0.0077
2026/6/14,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,2002,193.840393
2026/6/14,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,4,0.01449
2026/6/14,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,331,34.273846
2026/6/15,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,16,11.927204
2026/6/15,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,1915,207.139568
2026/6/15,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,14,27.428525
2026/6/15,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,819,83.453434
2026/6/16,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,1,0.223125
2026/6/16,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,4116,413.934321
2026/6/16,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,2,4.738694
2026/6/16,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,167,17.840642
2026/6/17,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,4035,435.83398
2026/6/18,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,5,0.964905
2026/6/18,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3091,331.881535
2026/6/19,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,2,21.833088
2026/6/19,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3376,317.783809
2026/6/19,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,6,22.833388
2026/6/19,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,7,0.079928
2026/6/20,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,5,56.836999
2026/6/20,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,4431,451.073835
2026/6/20,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,3,24.53325
2026/6/20,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,1,0.003877
2026/6/21,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,18,86.017085
2026/6/21,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,5483,569.268823
2026/6/21,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,1,0.02485
2026/6/21,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,5,0.026395
2026/6/22,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,4417,494.187186
2026/6/22,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,5,0.035373
2026/6/23,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3832,415.255957
2026/6/23,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,3,14.855768
2026/6/23,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,36,2.800806
2026/6/23,4004,test,sk-e0ee18620,【限时半价】gpt-image,1,0.000055
2026/6/24,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,9,64.284115
2026/6/24,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,5965,547.754181
2026/6/24,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,2,0.0392
2026/6/24,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,1205,148.149321
2026/6/25,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,4967,423.295688
2026/6/26,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,34,79.856893
2026/6/26,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,5447,531.723585
2026/6/26,3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,1,0.012425
2026/6/26,3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,1,0.001205
2026/6/26,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,27,0.00567
2026/6/27,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,155,270.411909
2026/6/27,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,6639,627.212615
2026/6/27,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,7,0.012585
2026/6/28,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,22,45.905281
2026/6/28,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3617,305.01119
2026/6/28,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,36,0.092095
2026/6/29,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,5,13.597253
2026/6/29,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3219,296.70465
2026/6/29,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,11,0.033153
2026/6/30,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,2671,268.914795
2026/6/30,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,1,0.00199
2026/7/1,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,115,657.205395
2026/7/1,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3372,334.180347
2026/7/1,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,28,0.084318
2026/7/2,3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,8,59.732741
2026/7/2,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,2724,318.163172
2026/7/2,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,78,0.270945
2026/7/3,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,2817,304.659833
2026/7/3,4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,55,0.19436
2026/7/4,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3910,479.726868
2026/7/5,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,4812,521.167846
2026/7/6,3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,3281,386.586384
